customer_id,signup_date,customer_segment,region,status,lifetime_months_expected,acquisition_channel,acquisition_campaign,acquisition_cost_ngn
C100000,6/9/2025 15:07,Individual,Nigeria,Dormant,,Paid Social,Camp_44,33819
C100001,12/11/2020 21:26,Individual,West Africa,Active,54,Event,Camp_82,27289
C100002,3/18/2020 16:56,SME,Europe,Active,36,Referral,Camp_61,434
C100003,5/4/2022 11:40,Individual,Europe,Active,55,Organic Social,Camp_107,6671
C100004,1/30/2022 20:27,SME,North America,Churned,10,Paid Search,Camp_72,13561
C100005,11/24/2021 11:47,Individual,Rest of Africa,Dormant,,Paid Search,Camp_106,22573
C100006,3/9/2021 12:42,Individual,Rest of Africa,Churned,1,Paid Search,Camp_96,2836
C100007,11/14/2020 10:35,Individual,Nigeria,Active,31,AFF,Camp_100,7988
C100008,10/3/2025 10:22,SME,Nigeria,Dormant,,Organic Social,Camp_5,2338
C100009,8/21/2024 9:28,Individual,Nigeria,Active,25, Referral ,Camp_21,8130
C100010,9/27/2020 2:37,SME,West Africa,Active,43,Paid Search,Camp_116,97695
C100011,1/8/2025 14:18,Individual,Nigeria,Active,22,EVT,Camp_101,22655
C100012,8/3/2023 20:46,SME,Europe,Active,58,Affiliate,Camp_119,9066
C100013,4/8/2020 17:53,Enterprise,Nigeria,Churned,21,Paid Search,Camp_106,24703
C100014,4/2/2020 13:50,SME,Rest of Africa,Active,37,Paid Search,Camp_109,2753
C100015,10/18/2020 2:25,Individual,Nigeria,Dormant,,Paid Search,Camp_109,34450
C100016,11/10/2021 6:49,Individual,Europe,Active,14,Paid Social,Camp_18,7025
C100017,12/23/2021 20:27,SME,Nigeria,Active,42,Organic Social,Camp_115,8020
C100018,4/19/2024 2:01,Individual,West Africa,Active,57,Paid Social,Camp_66,16840
C100019,2/13/2025 9:46,SME,Nigeria,Active,45,Paid Social,Camp_3,6865
C100020,3/23/2020 10:39,Individual,Nigeria,Active,36,Organic Social,Camp_12,2202
C100021,10/9/2024 17:27,SME,Rest of Africa,Churned,1,Paid Search,Camp_111,32873
C100022,9/9/2021 18:24,Individual,Nigeria,Active,33,Paid Social,CMP_59,14375
C100023,7/12/2025 2:53,Individual,Nigeria,Active,17,Paid Social,Camp_64,19866
C100024,8/20/2024 1:46,SME,West Africa,Churned,1,Organic Social,Camp_11,
C100025,7/27/2023 9:39,SME,Nigeria,Active,10,Referral,Camp_87,3092
C100026,11/15/2021 21:14,SME,Nigeria,Active,9,Paid Search,Camp_4,9655
C100027,10/27/2023 15:27,Individual,Europe,Churned,6,Organic Social,Camp_54,4836
C100028,1/4/2025 18:50,SME,Rest of Africa,Active,12,Organic Social,Camp_17,609
C100029,5/14/2022 7:24,SME,Rest of Africa,Churned,3,Paid Search,Camp_73,9693
C100030,1/21/2020 4:34,Individual,North America,Active,48,Organic Social,Camp_38,5232
C100031,5/11/2021 1:03,Individual,Europe,Churned,16,Paid Search,Camp_47,8012
C100032,8/6/2023 0:24,Individual,Nigeria,Active,51,Paid Search,Camp_112,53071
C100033,11/23/2022 2:55,Individual,Nigeria,Churned,4,Event,Camp_118,43297
C100034,5/13/2022 7:35,Individual,Nigeria,Dormant,,Event,Camp_3,81694
C100035,4/28/2021 1:23,SME,Nigeria,Churned,12,Affiliate,Camp_18,4025
C100036,10/30/2021 22:57,SME,Nigeria,Active,45,Paid Social,Camp_96,622
C100037,11/11/2022 18:18,Individual,West Africa,Churned,1,Paid Search,Camp_50,21458
C100038,11/13/2020 13:21,Individual,Nigeria,Active,35,Referral,Camp_85,828
C100039,10/15/2020 3:37,Enterprise,Nigeria,Churned,16,Paid Social,Camp_98,10701
C100040,3/26/2023 9:25,Individual,Nigeria,Churned,16,Paid Search,Camp_74,28572
C100041,10/27/2020 11:41,SME,Nigeria,Dormant,,Organic Social,Camp_37,6030
C100042,1/20/2023 7:26,Individual,Europe,Dormant,,Paid Search,Camp_35,698
C100043,12/4/2022 15:11,Individual,Nigeria,Churned,7,Event,Camp_59,58665
C100044,2/18/2025 17:04,SME,Europe,Active,10,Paid Social,Camp_29,12244
C100045,4/1/2022 20:06,SME,Nigeria,Active,19,Referral,Camp_100,1627
C100046,5/14/2020 23:53,SME,Nigeria,Active,47,SOC,Camp_47,6368
C100047,11/28/2023 9:12,SME,Nigeria,Active,26,Organic Social,Camp_86,2730
C100048,7/24/2024 0:03,SME,West Africa,Churned,12,Organic Social,Camp_28,6195
C100049,1/22/2021 19:42,SME,Nigeria,Active,41,Paid Search,Camp_36,37482
C100050,3/22/2023 1:34,SME,West Africa,Dormant,,Event,Camp_13,19582
C100051,9/1/2020 19:46,Enterprise,West Africa,Active,33,Referral,Camp_113,2349
C100052,9/11/2024 3:07,SME,Nigeria,Active,50,Event,Camp_108,11938
C100053,6/29/2022 20:57,Individual,Nigeria,Active,31,Affiliate,CMP_83,14271
C100054,5/7/2025 2:46,Individual,Nigeria,Active,49,Organic Social,Camp_37,4705
C100055,4/5/2025 16:10,Individual,North America,Churned,2,Event,Camp_90,59699
C100056,1/28/2023 13:27,Individual,West Africa,Active,34,Paid Search,Camp_32,16211
C100057,11/28/2024 18:29,Individual,Nigeria,Dormant,,Paid Search,Camp_80,6505
C100058,8/20/2021 10:04,SME,North America,Dormant,,Paid Search,Camp_10,14019
C100059,8/4/2020 2:24,SME,West Africa,Churned,3,Paid Social,Camp_4,8647
C100060,5/22/2020 8:54,Individual,Nigeria,Active,20,Paid Social,Camp_96,7281
C100061,8/16/2025 11:22,SME,Nigeria,Active,52,Paid Social,Camp_28,4292
C100062,12/9/2021 1:19,SME,Nigeria,Active,34,Affiliate,Camp_24,11389
C100063,6/18/2022 2:19,SME,Nigeria,Churned,6,Paid Social,Camp_31,1625
C100064,9/4/2020 21:43,Individual,Nigeria,Churned,15,Paid Social,Camp_95,39336
C100065,12/24/2021 6:08,SME,Europe,Dormant,,Organic Social,Camp_90,962
C100066,11/9/2020 19:12,Individual,West Africa,Active,30,Paid Search,Camp_16,97643
C100067,3/27/2023 0:15,Individual,Nigeria,Active,25,Affiliate,Camp_106,35701
C100068,5/13/2022 15:12,Individual,Rest of Africa,Active,33,Paid Search,Camp_68,12703
C100069,11/9/2023 16:43,SME,Nigeria,Active,14,Event,Camp_56,176321
C100070,5/29/2025 0:04,Individual,West Africa,Active,30,Referral,Camp_108,4066
C100071,2/7/2023 11:51,Individual,Nigeria,Active,13,Paid Search,Camp_85,2150
C100072,5/20/2021 8:22,SME,Nigeria,Churned,6,Paid Search,Camp_96,73592
C100073,2/24/2023 2:41,SME,West Africa,Active,26,Affiliate,Camp_55,347
C100074,1/8/2023 18:54,SME,Nigeria,Active,43,Referral,Camp_60,401
C100075,10/12/2021 21:58,Individual,Rest of Africa,Active,25,REF,Camp_110,1757
C100076,9/13/2025 3:52,SME,West Africa,Active,12,Referral,Camp_74,168
C100077,4/9/2022 11:18,Individual,Nigeria,Churned,22,Paid Search,Camp_82,4410
C100078,10/24/2025 17:00,Individual,North America,Active,9,Paid Social,Camp_7,55226
C100079,7/6/2025 9:01,Individual,North America,Active,44,Paid Search,Camp_114,130944
C100080,8/9/2020 20:09,Individual,Europe,Active,40,Affiliate,Camp_55,12801
C100081,3/7/2025 12:05,Individual,West Africa,Active,7,Organic Social,Camp_55,3620
C100082,5/26/2025 19:24,Individual,Nigeria,Active,36,Paid Social,Camp_82,41500
C100083,6/15/2021 17:01,SME,North America,Active,23,Paid Search,Camp_63,2966
C100084,7/17/2024 12:21,SME,North America,Active,23,SOC,Camp_96,51530
C100085,1/30/2022 14:25,Individual,Rest of Africa,Active,23,Paid Social,Camp_33,7797
C100086,5/22/2021 16:10,Individual,Nigeria,Active,18,Referral,Camp_61,3953
C100087,12/7/2023 4:37,Individual,Rest of Africa,Churned,7,Organic Social,Camp_62,5518
C100088,3/24/2023 22:14,Individual,Rest of Africa,Churned,8,Affiliate,Camp_83,25806
C100089,4/18/2022 16:46,Enterprise,Nigeria,Active,46,Organic Social,Camp_82,10000
C100090,6/11/2025 9:50,SME,Nigeria,Active,55,Paid Search,Camp_18,54708
C100091,11/8/2025 1:04,Individual,West Africa,Dormant,,Referral,Camp_97,1998
C100092,9/26/2024 9:10,Individual,West Africa,Churned,3,Referral,Camp_7,3581
C100093,11/13/2021 7:41,SME,Nigeria,Active,47,Organic Social,Camp_92,7076
C100094,10/28/2025 0:32,Individual,Nigeria,Active,25,Referral,Camp_119,352
C100095,10/4/2022 12:16,Individual,Nigeria,Churned,6,Organic Social,Camp_13,5229
C100096,6/22/2020 19:02,Individual,West Africa,Active,25,Organic Social,Camp_11,801
C100097,12/12/2021 15:03,Individual,Nigeria,Active,31,Paid Social,Camp_85,36648
C100098,4/9/2020 17:34,SME,Nigeria,Active,42,Paid Search,Camp_112,1705
C100099,9/7/2022 1:53,SME,Nigeria,Active,11,Paid Search,Camp_8,108660
